"source_id","package","source_type","title","url","verified_on"
"gp3-local","gp3sequences","local source, manuals, vignettes, tests, and audits","gp3sequences local repository evidence","https://github.com/stefanosbalaskas/gp3sequences","2026-08-06"
"gp3-cran","gp3sequences","CRAN package record","CRAN package gp3sequences","https://CRAN.R-project.org/package=gp3sequences","2026-08-06"
"traminer-jss","TraMineR","peer-reviewed software paper","Analyzing and Visualizing State Sequences in R with TraMineR","https://doi.org/10.18637/jss.v040.i04","2026-08-06"
"traminer-manual","TraMineR","CRAN reference documentation","TraMineR package reference documentation","https://CRAN.R-project.org/package=TraMineR","2026-08-06"
"seqhmm-jss","seqHMM","peer-reviewed software paper","Mixture Hidden Markov Models for Sequence Data: The seqHMM Package in R","https://doi.org/10.18637/jss.v088.i03","2026-08-06"
"seqhmm-manual","seqHMM","CRAN reference documentation","seqHMM 2.2.0 CRAN reference documentation","https://CRAN.R-project.org/package=seqHMM","2026-08-06"
"arulesseq-manual","arulesSequences","CRAN reference documentation","arulesSequences package reference documentation","https://CRAN.R-project.org/package=arulesSequences","2026-08-06"
"weightedcluster-manual","WeightedCluster","CRAN reference documentation","WeightedCluster package reference documentation","https://CRAN.R-project.org/package=WeightedCluster","2026-08-06"
"clickclust-jss","ClickClust","peer-reviewed software paper","ClickClust: An R Package for Model-Based Clustering of Categorical Sequences","https://doi.org/10.18637/jss.v074.i09","2026-08-06"
"clickclust-manual","ClickClust","CRAN reference documentation","ClickClust package reference documentation","https://CRAN.R-project.org/package=ClickClust","2026-08-06"
"pst-jss","PST","peer-reviewed software paper","Analyzing State Sequences with Probabilistic Suffix Trees: The PST R Package","https://doi.org/10.18637/jss.v072.i03","2026-08-06"
"pst-archive","PST","archived CRAN source package","PST 0.94.1 archived source package","https://cran.r-project.org/src/contrib/Archive/PST/PST_0.94.1.tar.gz","2026-08-06"
"march-manual","march","CRAN reference documentation","march package reference documentation","https://CRAN.R-project.org/package=march","2026-08-06"
