"package","feature","support","evidence_source","verification_note"
"gp3sequences","neutral_long_format_input","verify from current documentation","",""
"TraMineR","neutral_long_format_input","not yet assessed","",""
"seqHMM","neutral_long_format_input","not yet assessed","",""
"arulesSequences","neutral_long_format_input","not yet assessed","",""
"WeightedCluster","neutral_long_format_input","not yet assessed","",""
"ClickClust","neutral_long_format_input","not yet assessed","",""
"PST","neutral_long_format_input","not yet assessed","",""
"march","neutral_long_format_input","not yet assessed","",""
"gp3sequences","explicit_preprocessing_policy","verify from current documentation","",""
"TraMineR","explicit_preprocessing_policy","not yet assessed","",""
"seqHMM","explicit_preprocessing_policy","not yet assessed","",""
"arulesSequences","explicit_preprocessing_policy","not yet assessed","",""
"WeightedCluster","explicit_preprocessing_policy","not yet assessed","",""
"ClickClust","explicit_preprocessing_policy","not yet assessed","",""
"PST","explicit_preprocessing_policy","not yet assessed","",""
"march","explicit_preprocessing_policy","not yet assessed","",""
"gp3sequences","state_sequence_summaries","verify from current documentation","",""
"TraMineR","state_sequence_summaries","not yet assessed","",""
"seqHMM","state_sequence_summaries","not yet assessed","",""
"arulesSequences","state_sequence_summaries","not yet assessed","",""
"WeightedCluster","state_sequence_summaries","not yet assessed","",""
"ClickClust","state_sequence_summaries","not yet assessed","",""
"PST","state_sequence_summaries","not yet assessed","",""
"march","state_sequence_summaries","not yet assessed","",""
"gp3sequences","motif_or_pattern_mining","verify from current documentation","",""
"TraMineR","motif_or_pattern_mining","not yet assessed","",""
"seqHMM","motif_or_pattern_mining","not yet assessed","",""
"arulesSequences","motif_or_pattern_mining","not yet assessed","",""
"WeightedCluster","motif_or_pattern_mining","not yet assessed","",""
"ClickClust","motif_or_pattern_mining","not yet assessed","",""
"PST","motif_or_pattern_mining","not yet assessed","",""
"march","motif_or_pattern_mining","not yet assessed","",""
"gp3sequences","bounded_noncontiguous_subsequences","verify from current documentation","",""
"TraMineR","bounded_noncontiguous_subsequences","not yet assessed","",""
"seqHMM","bounded_noncontiguous_subsequences","not yet assessed","",""
"arulesSequences","bounded_noncontiguous_subsequences","not yet assessed","",""
"WeightedCluster","bounded_noncontiguous_subsequences","not yet assessed","",""
"ClickClust","bounded_noncontiguous_subsequences","not yet assessed","",""
"PST","bounded_noncontiguous_subsequences","not yet assessed","",""
"march","bounded_noncontiguous_subsequences","not yet assessed","",""
"gp3sequences","sequence_distances","verify from current documentation","",""
"TraMineR","sequence_distances","not yet assessed","",""
"seqHMM","sequence_distances","not yet assessed","",""
"arulesSequences","sequence_distances","not yet assessed","",""
"WeightedCluster","sequence_distances","not yet assessed","",""
"ClickClust","sequence_distances","not yet assessed","",""
"PST","sequence_distances","not yet assessed","",""
"march","sequence_distances","not yet assessed","",""
"gp3sequences","clustering","verify from current documentation","",""
"TraMineR","clustering","not yet assessed","",""
"seqHMM","clustering","not yet assessed","",""
"arulesSequences","clustering","not yet assessed","",""
"WeightedCluster","clustering","not yet assessed","",""
"ClickClust","clustering","not yet assessed","",""
"PST","clustering","not yet assessed","",""
"march","clustering","not yet assessed","",""
"gp3sequences","cluster_stability","verify from current documentation","",""
"TraMineR","cluster_stability","not yet assessed","",""
"seqHMM","cluster_stability","not yet assessed","",""
"arulesSequences","cluster_stability","not yet assessed","",""
"WeightedCluster","cluster_stability","not yet assessed","",""
"ClickClust","cluster_stability","not yet assessed","",""
"PST","cluster_stability","not yet assessed","",""
"march","cluster_stability","not yet assessed","",""
"gp3sequences","transition_networks","verify from current documentation","",""
"TraMineR","transition_networks","not yet assessed","",""
"seqHMM","transition_networks","not yet assessed","",""
"arulesSequences","transition_networks","not yet assessed","",""
"WeightedCluster","transition_networks","not yet assessed","",""
"ClickClust","transition_networks","not yet assessed","",""
"PST","transition_networks","not yet assessed","",""
"march","transition_networks","not yet assessed","",""
"gp3sequences","higher_order_markov","verify from current documentation","",""
"TraMineR","higher_order_markov","not yet assessed","",""
"seqHMM","higher_order_markov","not yet assessed","",""
"arulesSequences","higher_order_markov","not yet assessed","",""
"WeightedCluster","higher_order_markov","not yet assessed","",""
"ClickClust","higher_order_markov","not yet assessed","",""
"PST","higher_order_markov","not yet assessed","",""
"march","higher_order_markov","not yet assessed","",""
"gp3sequences","categorical_hmm","verify from current documentation","",""
"TraMineR","categorical_hmm","not yet assessed","",""
"seqHMM","categorical_hmm","not yet assessed","",""
"arulesSequences","categorical_hmm","not yet assessed","",""
"WeightedCluster","categorical_hmm","not yet assessed","",""
"ClickClust","categorical_hmm","not yet assessed","",""
"PST","categorical_hmm","not yet assessed","",""
"march","categorical_hmm","not yet assessed","",""
"gp3sequences","mixture_hmm","verify from current documentation","",""
"TraMineR","mixture_hmm","not yet assessed","",""
"seqHMM","mixture_hmm","not yet assessed","",""
"arulesSequences","mixture_hmm","not yet assessed","",""
"WeightedCluster","mixture_hmm","not yet assessed","",""
"ClickClust","mixture_hmm","not yet assessed","",""
"PST","mixture_hmm","not yet assessed","",""
"march","mixture_hmm","not yet assessed","",""
"gp3sequences","multichannel_hmm","verify from current documentation","",""
"TraMineR","multichannel_hmm","not yet assessed","",""
