"sequence_id","position","state","group","channel","weight"
"S001",1,"C","reference","primary",1
"S002",1,"A","comparison","primary",1
"S003",1,"A","reference","primary",1
"S004",1,"C","comparison","primary",1
"S005",1,"C","reference","primary",1
"S006",1,"A","comparison","primary",1
"S007",1,"A","reference","primary",1
"S008",1,"C","comparison","primary",1
"S009",1,"C","reference","primary",1
"S010",1,"A","comparison","primary",1
"S011",1,"A","reference","primary",1
"S012",1,"C","comparison","primary",1
"S013",1,"C","reference","primary",1
"S014",1,"A","comparison","primary",1
"S015",1,"A","reference","primary",1
"S016",1,"C","comparison","primary",1
"S017",1,"C","reference","primary",1
"S018",1,"A","comparison","primary",1
"S019",1,"A","reference","primary",1
"S020",1,"C","comparison","primary",1
"S021",1,"C","reference","primary",1
"S022",1,"A","comparison","primary",1
"S023",1,"A","reference","primary",1
"S024",1,"C","comparison","primary",1
"S025",1,"C","reference","primary",1
"S026",1,"A","comparison","primary",1
"S027",1,"A","reference","primary",1
"S028",1,"C","comparison","primary",1
"S029",1,"C","reference","primary",1
"S030",1,"A","comparison","primary",1
"S031",1,"A","reference","primary",1
"S032",1,"C","comparison","primary",1
"S033",1,"C","reference","primary",1
"S034",1,"A","comparison","primary",1
"S035",1,"A","reference","primary",1
"S036",1,"C","comparison","primary",1
"S037",1,"C","reference","primary",1
"S038",1,"A","comparison","primary",1
"S039",1,"A","reference","primary",1
"S040",1,"C","comparison","primary",1
"S041",1,"C","reference","primary",1
"S042",1,"A","comparison","primary",1
"S043",1,"A","reference","primary",1
"S044",1,"C","comparison","primary",1
"S045",1,"C","reference","primary",1
"S046",1,"A","comparison","primary",1
"S047",1,"A","reference","primary",1
"S048",1,"C","comparison","primary",1
"S049",1,"C","reference","primary",1
"S050",1,"A","comparison","primary",1
"S051",1,"A","reference","primary",1
"S052",1,"C","comparison","primary",1
"S053",1,"C","reference","primary",1
"S054",1,"A","comparison","primary",1
"S055",1,"A","reference","primary",1
"S056",1,"C","comparison","primary",1
"S057",1,"C","reference","primary",1
"S058",1,"A","comparison","primary",1
"S059",1,"A","reference","primary",1
"S060",1,"C","comparison","primary",1
"S061",1,"C","reference","primary",1
"S062",1,"A","comparison","primary",1
"S063",1,"A","reference","primary",1
"S064",1,"C","comparison","primary",1
"S065",1,"C","reference","primary",1
"S066",1,"A","comparison","primary",1
"S067",1,"A","reference","primary",1
"S068",1,"C","comparison","primary",1
"S069",1,"C","reference","primary",1
"S070",1,"A","comparison","primary",1
"S071",1,"A","reference","primary",1
"S072",1,"C","comparison","primary",1
"S001",2,"D","reference","primary",1
"S002",2,"C","comparison","primary",1
"S003",2,"B","reference","primary",1
"S004",2,"A","comparison","primary",1
"S005",2,"D","reference","primary",1
"S006",2,"C","comparison","primary",1
"S007",2,"B","reference","primary",1
"S008",2,"A","comparison","primary",1
"S009",2,"D","reference","primary",1
"S010",2,"C","comparison","primary",1
"S011",2,"B","reference","primary",1
"S012",2,"A","comparison","primary",1
"S013",2,"D","reference","primary",1
"S014",2,"C","comparison","primary",1
"S015",2,"B","reference","primary",1
"S016",2,"A","comparison","primary",1
"S017",2,"D","reference","primary",1
"S018",2,"C","comparison","primary",1
"S019",2,"B","reference","primary",1
"S020",2,"A","comparison","primary",1
"S021",2,"D","reference","primary",1
"S022",2,"C","comparison","primary",1
"S023",2,"B","reference","primary",1
"S024",2,"A","comparison","primary",1
"S025",2,"D","reference","primary",1
"S026",2,"C","comparison","primary",1
"S027",2,"B","reference","primary",1
"S028",2,"A","comparison","primary",1
"S029",2,"D","reference","primary",1
"S030",2,"C","comparison","primary",1
"S031",2,"B","reference","primary",1
"S032",2,"A","comparison","primary",1
"S033",2,"D","reference","primary",1
