"sequence_id","cluster","group","silhouette"
"S001","1","reference",0.697479
"S003","1","reference",0.697479
"S005","1","reference",0.697479
"S007","1","reference",0.697479
"S009","1","reference",0.697479
"S011","1","reference",0.697479
"S013","1","reference",0.697479
"S015","1","reference",0.697479
"S017","1","reference",0.697479
"S019","1","reference",0.697479
"S021","1","reference",0.697479
"S023","1","reference",0.697479
"S025","1","reference",0.697479
"S027","1","reference",0.697479
"S029","1","reference",0.697479
"S031","1","reference",0.697479
"S033","1","reference",0.697479
"S035","1","reference",0.697479
"S037","1","reference",0.697479
"S039","1","reference",0.697479
"S041","1","reference",0.697479
"S043","1","reference",0.697479
"S045","1","reference",0.697479
"S047","1","reference",0.697479
"S049","1","reference",0.697479
"S051","1","reference",0.697479
"S053","1","reference",0.697479
"S055","1","reference",0.697479
"S057","1","reference",0.697479
"S059","1","reference",0.697479
"S061","1","reference",0.697479
"S063","1","reference",0.697479
"S065","1","reference",0.697479
"S067","1","reference",0.697479
"S069","1","reference",0.697479
"S071","1","reference",0.697479
"S002","2","comparison",0.909244
"S004","2","comparison",0.909244
"S006","2","comparison",0.909244
"S008","2","comparison",0.909244
"S010","2","comparison",0.909244
"S012","2","comparison",0.909244
"S014","2","comparison",0.909244
"S016","2","comparison",0.909244
"S018","2","comparison",0.909244
"S020","2","comparison",0.909244
"S022","2","comparison",0.909244
"S024","2","comparison",0.909244
"S026","2","comparison",0.909244
"S028","2","comparison",0.909244
"S030","2","comparison",0.909244
"S032","2","comparison",0.909244
"S034","2","comparison",0.909244
"S036","2","comparison",0.909244
"S038","2","comparison",0.909244
"S040","2","comparison",0.909244
"S042","2","comparison",0.909244
"S044","2","comparison",0.909244
"S046","2","comparison",0.909244
"S048","2","comparison",0.909244
"S050","2","comparison",0.909244
"S052","2","comparison",0.909244
"S054","2","comparison",0.909244
"S056","2","comparison",0.909244
"S058","2","comparison",0.909244
"S060","2","comparison",0.909244
"S062","2","comparison",0.909244
"S064","2","comparison",0.909244
"S066","2","comparison",0.909244
"S068","2","comparison",0.909244
"S070","2","comparison",0.909244
"S072","2","comparison",0.909244
