"group","group_key","context","from_state","to_state","count","sequence_count","sequence_prevalence","weight"
"comparison","comparison","A","A","A",18,18,0.5,0.043478
"comparison","comparison","A","A","C",396,36,1,0.956522
"comparison","comparison","C","C","A",396,36,1,0.956522
"comparison","comparison","C","C","C",18,18,0.5,0.043478
"reference","reference","A","A","B",180,36,1,0.909091
"reference","reference","A","A","C",18,18,0.5,0.090909
"reference","reference","B","B","C",180,36,1,0.833333
"reference","reference","B","B","D",36,36,1,0.166667
"reference","reference","C","C","A",18,18,0.5,0.090909
"reference","reference","C","C","D",180,36,1,0.909091
"reference","reference","D","D","A",180,36,1,0.833333
"reference","reference","D","D","B",36,36,1,0.166667
