"status","test","message","accepted_exception","exception_reason"
"SUCCESS","check_filenames","SUCCESS: Submission has consistently named tex, bib, and R files",FALSE,""
"SUCCESS","check_structure","SUCCESS: File and directory names are compliant.",FALSE,""
"WARNING","check_folder_structure","WARNING: Other non-standard file detected: Rjournal.sty.
Should they be removed? ",TRUE,"Official R Journal template/source requirement: Rjournal.sty retained unchanged for reproducible PDF rebuilding."
"SUCCESS","check_unnecessary_files","SUCCESS: No problematic file found",FALSE,""
"SUCCESS","check_cover_letter","SUCCESS: Possible motivation letter found: motivation-letter",FALSE,""
"SUCCESS","check_title","SUCCESS: Article title formatted in title case.",FALSE,""
"SUCCESS","check_section","SUCCESS: Section titles formatted in sentence case.",FALSE,""
"SUCCESS","check_abstract","SUCCESS: Abstract formatted in plain text.",FALSE,""
"NOTE","check_spelling","NOTE: A potential list of spelling to check: gp, auditable, noncontiguous, inspectable, replayable, summarise, ngrams, canonicalise, standardised, unmapped, predeclared, dunn, exchangeability, betweenness, pagerank, auditability",FALSE,""
"SUCCESS","check_proposed_pkg","SUCCESS: CRAN activities have been detected for package gp3sequences",FALSE,""
"SUCCESS","check_pkg_label","SUCCESS: No error with the use of \pkg markup.",FALSE,""
"SUCCESS","check_packages_available","SUCCESS: All packages marked-up with \CRANpkg or \BIOpkg are available on CRAN or Bioconductor.",FALSE,""
"SUCCESS","check_bib_doi","SUCCESS: All the references contain DOI or URL",FALSE,""
"SUCCESS","check_csl","SUCCESS: No customised csl file used. Good!",FALSE,""
"SUCCESS","check_date_path_safe","Article date is fixed in YYYY-MM-DD format and matches the check date.",FALSE,""
